Product name,Product link,Product cost,Product amount
"Custom PCB (JLCPCB)","https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&spm=Jlcpcb.Homepage.1010","$5.12",1
"LED 5mm","N/A","N/A",10
